date,title,href,author,view,up,down,page
2026.01.28 11:23,코스피 5천시대 여기서 뭐해요 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411369450&page=3,일정실업자,125,3,1,3
2026.01.26 23:10,3자배당 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411214227&page=3,참신한투자전략황소,228,1,1,3
2026.01.26 15:32,1만원 [ 3 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411190126&page=3,야무진넘,188,3,1,3
2026.01.26 13:45,깜놀,https://finance.naver.com/item/board_read.naver?code=008500&nid=411175182&page=3,Gtr34,98,0,0,3
2026.01.26 10:49,5% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=008500&nid=411148771&page=3,일정실업 소식,197,0,1,3
2026.01.23 10:16,D-28심사..-10.8억 부족,https://finance.naver.com/item/board_read.naver?code=008500&nid=411000155&page=4,곰곰5,220,1,0,4
2026.01.23 09:49,이유를 알려드림 [ 2 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410994409&page=4,불자난데,339,1,2,4
2026.01.23 08:30,올들어 15% 오른 코스피…'5000피' 찍고 더 ... [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410978817&page=4,마켓킬러,159,0,1,4
2026.01.22 20:11,상장폐지 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410959578&page=4,Dolce,194,1,0,4
2026.01.22 11:29,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=410905097&page=4,일정실업 소식,255,1,0,4
2026.01.21 09:22,현대기아 부품주 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410761361&page=4,매집봉,250,4,3,4
2026.01.20 21:10,한덕수 관련주,https://finance.naver.com/item/board_read.naver?code=008500&nid=410735140&page=4,지존법사,128,2,1,4
2026.01.20 10:55,대표적인 현대차부품 관련주인데...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410670599&page=4,utoito,163,5,4,4
2026.01.20 09:47,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=410658684&page=4,일정실업 소식,225,1,1,4
2026.01.19 15:46,1만원 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410618690&page=4,야무진넘,178,3,3,4
2026.01.19 15:26,내일이 더 기대,https://finance.naver.com/item/board_read.naver?code=008500&nid=410616362&page=4,매집봉,115,1,3,4
2026.01.19 14:07,마켓킬러는 대체 왜 주식을 하는거야?,https://finance.naver.com/item/board_read.naver?code=008500&nid=410604536&page=4,불자난데,109,0,3,4
2026.01.19 12:50,일정실업 현대 기아 부품주입니다,https://finance.naver.com/item/board_read.naver?code=008500&nid=410594709&page=4,매집봉,86,4,4,4
2026.01.19 11:46,마켓킬러는 예전에 사서 몇년을 쳐물려있다가 [ 4 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410586325&page=4,불자난데,125,2,3,4
2026.01.19 10:29,ㅎㅎ 감사합니다,https://finance.naver.com/item/board_read.naver?code=008500&nid=410573177&page=4,매집봉,55,0,2,4
2026.01.19 10:01,정원오는 아님 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410568618&page=4,하늘보링,80,0,0,4
2026.01.19 09:51,아 고점에 물렸네 추격매수 했는데..,https://finance.naver.com/item/board_read.naver?code=008500&nid=410566757&page=4,utoito,43,1,2,4
2026.01.19 09:35,10% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=008500&nid=410563625&page=4,일정실업 소식,157,0,0,4
2026.01.19 09:31,고로로로로치,https://finance.naver.com/item/board_read.naver?code=008500&nid=410562846&page=4,원피스,34,0,0,4
2026.01.19 09:31,마켓컬리 오열중 [ 2 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410562732&page=4,신중한전략엘프,56,0,2,4
2026.01.19 09:28,5% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=008500&nid=410562124&page=5,일정실업 소식,89,0,0,5
2026.01.16 16:36,상폐를 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410503615&page=5,야무진넘,185,1,5,5
2026.01.16 15:42,마켓킬러 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410499507&page=5,하늘보링,133,0,2,5
2026.01.16 14:40,팔고갑니다 세력형님들,https://finance.naver.com/item/board_read.naver?code=008500&nid=410491336&page=5,매집봉,87,0,0,5
2026.01.16 12:50,마켓킬러야 아직 물량 많이 못 샀나보네 ㅋㅋ [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410474083&page=5,신중한전략엘프,92,0,1,5
2026.01.16 11:34,[깨달음과 현타의 시간] 이런 기업때문에 빈부의 격...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410463331&page=5,마켓킬러,78,1,0,5
2026.01.16 11:34,일정 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410463280&page=5,야무진넘,62,1,2,5
2026.01.16 11:09,반도체 특히 시총1위 삼성전자 이후 어디로 이동할 ...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410459273&page=5,마켓킬러,56,0,0,5
2026.01.16 10:51,[깨달음과 현타의 시간]  고통수회장과 가족들도 지...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410455797&page=5,마켓킬러,41,1,0,5
2026.01.16 10:36,코스피와 개인투자들이 돈을 복사하고 있는 동안 여기...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410452791&page=5,마켓킬러,38,1,0,5
2026.01.16 10:28,꿈의 5천피가 눈앞이다. 매일매일 개인들 계좌의 잔...,https://finance.naver.com/item/board_read.naver?code=008500&nid=410451323&page=5,마켓킬러,21,0,0,5
2026.01.16 10:24,고통수 회장의 경영마인드가 주가에서 보인다.,https://finance.naver.com/item/board_read.naver?code=008500&nid=410450689&page=5,마켓킬러,27,0,0,5
2026.01.16 08:38,심사 D-21 ..시총 -1억8천 [ 3 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410429883&page=5,곰곰5,70,1,1,5
2026.01.15 14:12,아니 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410383278&page=5,야무진넘,75,0,2,5
2026.01.15 10:31,ㅎ.ㅎ [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410353557&page=5,야무진넘,76,0,3,5
2026.01.14 14:22,하루 5원씩만 올리자 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410293080&page=5,제네시스마블,86,0,2,5
2026.01.14 11:49,형들 한번 올려봐바 내가 서포트 해줄게 [ 2 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410275180&page=5,원피스,84,0,5,5
2026.01.14 11:46,드디어 올리는 갑네 세력들 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410274758&page=5,원피스,60,1,4,5
2026.01.13 15:05,최소,https://finance.naver.com/item/board_read.naver?code=008500&nid=410208698&page=5,야무진넘,62,3,4,5
2026.01.13 13:03,인베니아 10사망 ㅅㄱ [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=410192943&page=5,원피스,93,2,6,5
